dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
euclidean_distance,2,5000000,59.8456290000031,4,25000000,50000000,8
euclidean_distance,2,10000000,90.04917939999723,3,40000000,80000000,6
euclidean_distance,2,15000000,167.78599060000852,4,75000000,150000000,8
euclidean_distance,3,5000000,58.38563199999044,3,20000000,60000000,9
euclidean_distance,3,10000000,301.7924714999972,9,100000000,300000000,27
euclidean_distance,4,5000000,109.07050349999918,5,30000000,120000000,20
euclidean_distance,4,10000000,215.60148379999737,5,60000000,240000000,20
euclidean_distance,5,5000000,308.858561800007,13,70000000,350000000,65
euclidean_distance,6,5000000,227.17101790000743,8,45000000,270000000,48
euclidean_distance,7,5000000,401.41826929998933,13,70000000,490000000,91
manhattan_distance,2,2500000,25.324781100003747,5,15000000,30000000,10
manhattan_distance,2,5000000,41.9074346999987,4,25000000,50000000,8
manhattan_distance,2,7500000,76.6488462999987,5,45000000,90000000,10
manhattan_distance,2,10000000,176.71566699999676,10,110000000,220000000,20
manhattan_distance,3,2500000,26.104353500006255,4,12500000,37500000,12
manhattan_distance,3,5000000,51.256562300011865,4,25000000,75000000,12
manhattan_distance,3,7500000,112.85934980001184,6,52500000,157500000,18
manhattan_distance,3,10000000,237.23742199999106,10,110000000,330000000,30
manhattan_distance,4,2500000,32.14872879999166,4,12500000,50000000,16
manhattan_distance,4,5000000,71.87860330000694,5,30000000,120000000,20
manhattan_distance,4,7500000,264.1259676999907,13,105000000,420000000,52
manhattan_distance,5,2500000,50.278087699989555,6,17500000,87500000,30
manhattan_distance,5,5000000,141.83356909999566,9,50000000,250000000,45
manhattan_distance,6,2500000,96.3020705999952,11,30000000,180000000,66
manhattan_distance,6,5000000,1606.1732703000016,97,490000000,2940000000,582
manhattan_distance,7,2500000,176.09086720000778,18,47500000,332500000,126
cosine_similarity,2,2500000,40.36162900000636,4,12500000,25000000,8
cosine_similarity,2,5000000,46.8060647000093,2,15000000,30000000,4
cosine_similarity,2,7500000,69.08320170000661,2,22500000,45000000,4
cosine_similarity,2,10000000,92.55351589999918,2,30000000,60000000,4
cosine_similarity,2,12500000,491.31422349999775,11,150000000,300000000,22
