dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
euclidean_distance,2,15000000,167.7860,4,75000000,150000000,8
euclidean_distance,3,10000000,301.7925,9,100000000,300000000,27
euclidean_distance,4,10000000,215.6015,5,60000000,240000000,20
euclidean_distance,5,5000000,308.8586,13,70000000,350000000,65
euclidean_distance,6,5000000,227.1710,8,45000000,270000000,48
euclidean_distance,7,5000000,401.4183,13,70000000,490000000,91
manhattan_distance,2,10000000,176.7157,10,110000000,220000000,20
manhattan_distance,3,10000000,237.2374,10,110000000,330000000,30
manhattan_distance,4,7500000,264.1260,13,105000000,420000000,52
manhattan_distance,5,5000000,141.8336,9,50000000,250000000,45
manhattan_distance,6,5000000,1606.1733,97,490000000,2940000000,582
manhattan_distance,7,2500000,176.0909,18,47500000,332500000,126
