dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations,vj_calculations
euclidean_distance,2,100,0.05499929999859887,2,200,5254,206,10000
euclidean_distance,2,110,0.07204490000003716,2,220,6329,226,12100
euclidean_distance,2,121,0.09306240000296384,3,363,7750,373,14641
euclidean_distance,2,133,0.12599580000096466,2,266,9181,272,17689
euclidean_distance,2,146,0.15938570000071195,3,438,11175,447,21316
euclidean_distance,2,160,0.21098440000059782,2,320,13204,326,25600
euclidean_distance,2,176,0.2773729000000458,2,352,15932,358,30976
euclidean_distance,2,193,0.3727662999990571,2,386,19111,392,37249
euclidean_distance,2,212,0.47431950000100187,2,424,23006,430,44944
euclidean_distance,2,233,0.6458467999982531,2,466,27731,472,54289
euclidean_distance,2,256,0.854792099999031,2,512,33412,518,65536
euclidean_distance,2,281,1.352076399998623,3,843,40470,853,78961
euclidean_distance,2,309,1.5486796000004688,3,927,48828,936,95481
euclidean_distance,2,339,2.069781399997737,2,678,58312,684,114921
euclidean_distance,2,372,2.7931404000009934,3,1116,70500,1126,138384
euclidean_distance,2,409,3.698850400000083,3,1227,85078,1237,167281
euclidean_distance,2,449,5.1214199000023655,3,1347,102378,1357,201601
euclidean_distance,2,493,6.840369400000782,2,986,122761,992,243049
euclidean_distance,2,542,9.588863299999502,2,1084,148241,1090,293764
euclidean_distance,2,596,12.954648999999336,2,1192,179102,1198,355216
euclidean_distance,2,655,17.42950910000218,3,1965,216811,1975,429025
euclidean_distance,2,720,23.961371100001998,2,1440,261004,1446,518400
euclidean_distance,2,792,32.65952180000022,2,1584,315616,1590,627264
euclidean_distance,2,871,45.188987699999416,3,2613,382375,2623,758641
euclidean_distance,2,958,60.345065199999226,3,2874,462241,2884,917764
euclidean_distance,2,1053,82.0016321999974,3,3159,558096,3169,1108809
euclidean_distance,2,1158,112.78707819999909,3,3474,674541,3484,1340964
euclidean_distance,2,1273,152.1790551999984,2,2546,813451,2552,1620529
euclidean_distance,3,100,0.05354860000079498,3,300,5359,315,10000
euclidean_distance,3,110,0.07157920000099693,3,330,6444,345,12100
euclidean_distance,3,121,0.09354410000014468,3,363,7753,378,14641
euclidean_distance,3,133,0.128106399999524,5,665,9591,691,17689
euclidean_distance,3,146,0.16529870000158553,4,584,11327,604,21316
euclidean_distance,3,160,0.21880160000000615,3,480,13369,495,25600
euclidean_distance,3,176,0.28869870000198716,4,704,16292,724,30976
euclidean_distance,3,193,0.3666759000007005,3,579,19309,593,37249
euclidean_distance,3,212,0.48199060000115423,3,636,23223,651,44944
euclidean_distance,3,233,0.6444539000003715,3,699,27969,714,54289
euclidean_distance,3,256,0.8303658000004361,5,1280,34191,1304,65536
euclidean_distance,3,281,1.1342017999995733,4,1124,40757,1143,78961
euclidean_distance,3,309,1.5075176999998803,4,1236,49143,1254,95481
euclidean_distance,3,339,1.985989900000277,3,1017,58656,1032,114921
euclidean_distance,3,372,2.6964423000026727,3,1116,70503,1131,138384
euclidean_distance,3,409,3.6558308000021498,3,1227,85081,1242,167281
euclidean_distance,3,449,4.99927100000059,3,1347,102381,1362,201601
euclidean_distance,3,493,6.738782299999002,3,1479,123259,1493,243049
euclidean_distance,3,542,10.108481799998117,4,2168,149333,2189,293764
euclidean_distance,3,596,12.750787500001024,3,1788,179703,1803,355216
euclidean_distance,3,655,17.676917900000262,3,1965,216814,1980,429025
euclidean_distance,3,720,24.122582100000727,4,2880,262452,2900,518400
euclidean_distance,3,792,33.437753400001384,3,2376,316413,2391,627264
euclidean_distance,3,871,45.79466479999974,4,3484,383252,3504,758641
euclidean_distance,3,958,62.070617800000036,4,3832,463205,3852,917764
euclidean_distance,3,1053,83.8084345999996,3,3159,558099,3173,1108809
euclidean_distance,3,1158,114.42600520000269,3,3474,674544,3489,1340964
euclidean_distance,3,1273,154.0272756000013,4,5092,816005,5112,1620529
euclidean_distance,4,100,0.054710699998395285,4,400,5466,422,10000
euclidean_distance,4,110,0.07487419999961276,5,550,6675,578,12100
euclidean_distance,4,121,0.09239760000127717,5,605,8006,635,14641
euclidean_distance,4,133,0.12444419999883394,3,399,9322,417,17689
euclidean_distance,4,146,0.15987300000051619,5,730,11481,759,21316
euclidean_distance,4,160,0.20720760000040173,5,800,13700,832,25600
euclidean_distance,4,176,0.27561599999899045,4,704,16296,729,30976
euclidean_distance,4,193,0.35959269999875687,3,579,19312,597,37249
euclidean_distance,4,212,0.474726999997074,3,636,23226,655,44944
euclidean_distance,4,233,0.6570217999978922,4,932,28209,957,54289
euclidean_distance,4,256,0.8319444000007934,4,1024,33936,1049,65536
euclidean_distance,4,281,1.1313321999987238,7,1967,41616,2010,78961
euclidean_distance,4,309,1.5436737000018184,5,1545,49460,1576,95481
euclidean_distance,4,339,2.032140100000106,3,1017,58659,1036,114921
euclidean_distance,4,372,2.7057187000027625,4,1488,70882,1514,138384
euclidean_distance,4,409,4.180400099998224,4,1636,85497,1661,167281
euclidean_distance,4,449,4.987576800001989,5,2245,103290,2276,201601
euclidean_distance,4,493,6.803037300000142,4,1972,123759,1999,243049
euclidean_distance,4,542,9.480523400001402,7,3794,150975,3833,293764
euclidean_distance,4,596,13.589955699997518,9,5364,183306,5423,355216
euclidean_distance,4,655,17.868399499999214,4,2620,217476,2646,429025
euclidean_distance,4,720,24.26253320000251,5,3600,263180,3630,518400
euclidean_distance,4,792,33.346684500000265,7,5544,319600,5592,627264
euclidean_distance,4,871,45.96080660000007,5,4355,384131,4387,758641
euclidean_distance,4,958,62.54930779999995,6,5748,465133,5790,917764
euclidean_distance,4,1053,86.19189679999909,6,6318,561273,6358,1108809
euclidean_distance,4,1158,120.47268619999886,4,4632,675709,4659,1340964
euclidean_distance,5,100,0.05595220000031986,4,400,5470,428,10000
euclidean_distance,5,110,0.07443760000023758,3,330,6450,353,12100
euclidean_distance,5,121,0.09440819999872474,4,484,7885,510,14641
euclidean_distance,5,133,0.12839910000184318,4,532,9463,562,17689
euclidean_distance,5,146,0.1659670000008191,11,1606,12392,1686,21316
euclidean_distance,5,160,0.21774569999979576,5,800,13705,838,25600
euclidean_distance,5,176,0.29557539999950677,3,528,16119,552,30976
euclidean_distance,5,193,0.3755254999996396,7,1351,20107,1402,37249
euclidean_distance,5,212,0.49677109999902314,5,1060,23663,1096,44944
euclidean_distance,5,233,0.6956626999999571,3,699,27975,723,54289
euclidean_distance,5,256,0.8663034999990487,4,1024,33940,1055,65536
euclidean_distance,5,281,1.1796558999994886,5,1405,41051,1444,78961
euclidean_distance,5,309,1.6132760000000417,5,1545,49465,1585,95481
euclidean_distance,5,339,2.2345151000008627,4,1356,59006,1387,114921
euclidean_distance,5,372,2.921801399999822,8,2976,72394,3034,138384
euclidean_distance,5,409,3.9262454000017897,5,2045,85915,2085,167281
euclidean_distance,5,449,5.324910200000886,3,1347,102387,1372,201601
euclidean_distance,5,493,7.334970899999462,5,2465,124261,2505,243049
euclidean_distance,5,542,10.350124200002028,5,2710,149888,2751,293764
euclidean_distance,5,596,13.936882199999673,4,2384,180310,2414,355216
euclidean_distance,5,655,19.026602199999616,6,3930,218800,3981,429025
euclidean_distance,5,720,26.311211500000354,7,5040,264635,5096,518400
euclidean_distance,5,792,35.67702250000002,6,4752,318810,4797,627264
