dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations,vj_calculations
euclidean_distance,2,1273,152.1791,2,2546,813451,2552,1620529
euclidean_distance,3,1273,154.0273,4,5092,816005,5112,1620529
euclidean_distance,4,1158,120.4727,4,4632,675709,4659,1340964
euclidean_distance,5,1158,120.4018,8,9264,680365,9331,1340964
euclidean_distance,6,1273,157.7691,8,10184,821133,10254,1620529
euclidean_distance,7,1273,156.1978,8,10184,821141,10277,1620529
manhattan_distance,2,1273,159.1456,2,2546,813451,2552,1620529
manhattan_distance,3,1273,159.8423,6,7638,818557,7671,1620529
manhattan_distance,4,1273,159.2851,3,3819,814732,3839,1620529
manhattan_distance,5,1273,155.9534,6,7638,818569,7682,1620529
manhattan_distance,6,1158,121.9732,8,9264,680373,9338,1340964
manhattan_distance,7,1273,156.0816,8,10184,821141,10275,1620529
