dissimilarity_used,k,n,time_results,iterations,assignments,cost_calculations,cluster_calculations
euclidean_distance,2,9394,147.8154,4,37576,186377334,37590
euclidean_distance,3,10333,297.5772,9,92997,373717961,93045
euclidean_distance,4,8540,229.2288,11,93940,275250218,94001
euclidean_distance,5,12502,152.7867,6,75012,190065676,75062
euclidean_distance,6,6418,140.7007,19,121942,172815120,122113
euclidean_distance,7,10333,297.8717,22,227326,368963386,227565
manhattan_distance,2,10333,176.9812,6,61998,361601724,62019
manhattan_distance,3,11366,161.8572,7,79562,323492182,79599
manhattan_distance,4,13752,255.1089,8,110016,484576350,110073
manhattan_distance,5,7764,125.0074,17,131988,239676482,132132
manhattan_distance,6,10333,149.1819,14,144662,281121962,144799
manhattan_distance,7,11366,164.4772,14,159124,309865092,159279
